# num_particles=5000
time,x_est,y_est,x_gt,y_gt,rmse
1768520791.71799,-1.43393,-4.69593,-1.15990,-4.76337,0.06742
1768520791.79011,-1.19215,-4.75789,-1.06241,-4.78561,0.14030
1768520791.89020,-1.20041,-4.76031,-0.96449,-4.80590,0.07344
1768520791.99271,-1.13332,-4.76651,-0.86619,-4.82423,0.23085
1768520792.09410,-1.08791,-4.75996,-0.76754,-4.84059,0.05063
1768520792.19444,-0.88544,-4.77740,-0.66858,-4.85497,0.09221
1768520792.29016,-0.75663,-4.82761,-0.56935,-4.86737,0.01582
1768520792.39243,-0.66897,-4.87079,-0.46990,-4.87778,0.06961
1768520792.48852,-0.53883,-4.86812,-0.37025,-4.88620,0.15245
1768520792.60969,-0.52271,-4.88625,-0.27046,-4.89263,0.02678
1768520792.76355,-0.24380,-4.89012,-0.17056,-4.89706,0.08171
1768520792.80427,-0.24901,-4.87422,-0.07059,-4.89949,0.03098
1768520792.91442,-0.07423,-4.86873,0.02941,-4.89993,0.02742
1768520793.05234,-0.07955,-4.87358,0.12939,-4.89836,0.09600
1768520793.09408,0.03392,-4.88823,0.22933,-4.89479,0.11509
1768520793.19752,0.11727,-4.86852,0.32917,-4.88923,0.16450
1768520793.37442,0.16489,-4.88081,0.42888,-4.88166,0.02809
1768520793.38829,0.35132,-4.87194,0.52842,-4.87211,0.11392
1768520793.48446,0.31634,-4.89933,0.62775,-4.86057,0.15780
1768520793.58938,0.37314,-4.90016,0.72683,-4.84704,0.08586
1768520793.69141,0.54292,-4.87383,0.82562,-4.83154,0.14706
1768520793.78524,0.67965,-4.84940,0.92408,-4.81406,0.09559
1768520793.89056,0.73034,-4.83922,1.02217,-4.79462,0.00665
1768520794.00232,0.92756,-4.81973,1.11985,-4.77322,0.05828
1768520794.08405,0.96536,-4.80764,1.21709,-4.74987,0.05422
1768520794.18787,1.06788,-4.78866,1.31383,-4.72458,0.04674
1768520794.29818,1.25462,-4.72201,1.41006,-4.69736,0.06857
1768520794.38723,1.37287,-4.68970,1.50571,-4.66822,0.02163
1768520794.49163,1.39130,-4.70812,1.60077,-4.63717,0.09172
1768520794.58951,1.68481,-4.60044,1.69519,-4.60423,0.06319
1768520794.69205,1.65373,-4.60270,1.78893,-4.56941,0.12675
1768520794.78835,1.78749,-4.51736,1.88195,-4.53272,0.07773
1768520794.90307,1.82181,-4.49898,1.97422,-4.49418,0.06037
1768520794.99748,1.98660,-4.43509,2.06571,-4.45379,0.03425
1768520795.09006,2.04266,-4.42846,2.15636,-4.41159,0.06071
1768520795.18983,2.09565,-4.41136,2.24616,-4.36759,0.09157
1768520795.28929,2.06974,-4.38190,2.33505,-4.32179,0.15526
1768520795.38585,2.18404,-4.35784,2.42302,-4.27423,0.21992
